timestamp,inventory,cash_position,mid_price,portfolio_value,unrealized_pnl
2025-04-15 12:30:00,7,997229.63,387.75,999943.88,5.18
2025-04-15 13:00:00,8,996844.02,386.03,999932.26,3.36
2025-04-15 13:30:00,9,996459.47,385.14,999925.73,5.31
2025-04-15 13:45:00,0,999932.55,385.14,999932.55,-0.0
2025-04-15 14:00:00,1,999547.83,385.09,999932.92,0.37
2025-04-15 14:15:00,2,999163.21,385.27,999933.76,1.31
2025-04-15 14:30:00,3,998777.7,385.84,999935.205,0.975
2025-04-15 14:45:00,4,998392.28,385.92,999935.94,1.98
2025-04-15 15:00:00,5,998007.38,385.33,999934.055,2.175
2025-04-15 15:15:00,6,997622.54,385.35,999934.61,3.03
2025-04-15 15:30:00,7,997237.67,385.29,999934.7,2.94
2025-04-16 09:30:00,8,996859.48,379.85,999898.28,13.28
2025-04-16 10:00:00,9,996483.55,376.96,999876.19,9.27
2025-04-16 10:15:00,0,999895.3,378.07,999895.3,-0.0
2025-04-16 10:30:00,1,999517.51,378.42,999895.925,0.625
2025-04-16 10:45:00,2,999139.22,378.76,999896.74,0.94
2025-04-16 11:00:00,3,998761.29,378.5,999896.79,1.71
2025-04-16 11:30:00,4,998383.13,378.9,999898.73,2.96
2025-04-16 12:00:00,5,998006.62,377.04,999891.845,2.675
2025-04-16 12:15:00,6,997629.64,377.35,999893.74,2.22
2025-04-16 12:30:00,7,997252.77,377.3,999893.835,2.975
2025-04-16 12:45:00,8,996875.59,377.44,999895.11,2.08
2025-04-16 13:00:00,9,996499.28,376.94,999891.785,5.715
2025-04-16 13:15:00,0,999897.76,377.01,999897.76,-0.0
2025-04-16 15:30:00,1,999529.29,369.07,999898.355,0.595
2025-04-17 09:30:00,2,999158.14,372.71,999903.57,3.13
2025-04-17 10:15:00,3,998788.34,370.46,999899.72,1.98
2025-04-17 10:45:00,4,998418.53,370.12,999898.99,1.22
2025-04-17 11:30:00,5,998048.11,371.17,999903.96,3.75
2025-04-17 11:45:00,6,997677.69,370.88,999903.0,2.79
2025-04-17 12:15:00,7,997306.24,371.85,999909.155,2.765
2025-04-17 12:45:00,8,996936.38,370.76,999902.5,7.24
2025-04-17 13:00:00,9,996565.54,371.29,999907.15,4.05
2025-04-17 13:15:00,0,999904.73,370.69,999904.73,-0.0
2025-04-17 13:30:00,1,999534.32,370.83,999905.145,0.415
2025-04-17 13:45:00,2,999163.43,371.36,999906.15,0.94
2025-04-17 14:00:00,3,998792.53,371.31,999906.475,1.245
2025-04-17 14:15:00,4,998421.97,371.09,999906.33,2.12
2025-04-17 14:30:00,5,998051.54,370.75,999905.265,1.575
2025-04-17 15:00:00,6,997683.21,368.94,999896.82,3.63
2025-04-17 15:15:00,7,997315.43,368.32,999893.705,3.815
2025-04-17 15:30:00,8,996947.11,368.63,999896.15,2.48
2025-04-21 09:30:00,9,996584.51,363.45,999855.515,7.605
2025-04-21 10:00:00,0,999834.74,360.44,999834.74,-0.0
2025-04-21 10:15:00,1,999475.09,360.0,999835.085,0.345
2025-04-21 10:45:00,2,999115.23,360.36,999835.94,0.99
2025-04-21 11:15:00,3,998755.71,360.01,999835.74,1.47
2025-04-21 11:30:00,4,998396.88,359.27,999833.98,1.78
2025-04-21 11:45:00,5,998039.04,358.35,999830.765,2.525
2025-04-21 12:00:00,6,997680.97,358.34,999831.01,1.62
2025-04-21 12:15:00,7,997322.96,358.26,999830.815,1.785
2025-04-21 12:30:00,8,996964.74,358.86,999835.62,5.12
2025-04-21 12:45:00,9,996606.24,359.05,999837.69,4.95
2025-04-21 13:00:00,0,999840.33,358.72,999840.33,-0.0
2025-04-21 13:15:00,1,999481.94,358.66,999840.6,0.27
2025-04-21 13:30:00,2,999123.95,358.44,999840.82,0.89
2025-04-21 13:45:00,3,998766.65,357.74,999839.855,1.305
2025-04-21 14:00:00,4,998409.71,357.22,999838.57,1.1
2025-04-21 14:15:00,5,998052.55,357.39,999839.5,1.15
2025-04-21 14:30:00,6,997695.97,357.2,999839.17,3.72
2025-04-21 14:45:00,7,997340.24,356.26,999834.06,3.71
2025-04-21 15:00:00,8,996984.3,356.54,999836.66,4.84
2025-04-21 15:15:00,9,996627.45,357.36,999843.645,4.545
2025-04-21 15:30:00,0,999855.69,357.79,999855.69,-0.0
2025-04-22 10:30:00,1,999493.34,362.94,999856.28,0.59
2025-04-22 11:00:00,2,999128.89,364.74,999858.36,0.57
2025-04-22 11:15:00,3,998764.67,364.47,999858.065,0.735
